LGA_CODE_2021,Neg_Nil_inc_fam_households,Neg_Nil_inc_Non_fam_househlds,Negative_Nil_income_Tot,HI_1_149_Family_households,HI_1_149_Non_family_hseholds,HI_1_149_Tot,HI_150_299_Family_households,HI_150_299_Non_fam_househlds,HI_150_299_Tot,HI_300_399_Family_households,HI_300_399_Non_fam_househlds,HI_300_399_Tot,HI_400_499_Family_households,HI_400_499_Non_fam_househlds,HI_400_499_Tot,HI_500_649_Family_households,HI_500_649_Non_fam_househlds,HI_500_649_Tot,HI_650_799_Family_households,HI_650_799_Non_fam_househlds,HI_650_799_Tot,HI_800_999_Fam_households,HI_800_999_Non_fam_hsehlds,HI_800_999_Tot,HI_1000_1249_Fam_households,HI_1000_1249_Non_fam_hsehlds,HI_1000_1249_Tot,HI_1250_1499_Fam_households,HI_1250_1499_Non_fam_hsehlds,HI_1250_1499_Tot,HI_1500_1749_Fam_households,HI_1500_1749_Non_fam_hsehlds,HI_1500_1749_Tot,HI_1750_1999_Fam_households,HI_1750_1999_Non_fam_hsehlds,HI_1750_1999_Tot,HI_2000_2499_Fam_households,HI_2000_2499_Non_fam_hsehlds,HI_2000_2499_Tot,HI_2500_2999_Fam_households,HI_2500_2999_Non_fam_hsehlds,HI_2500_2999_Tot,HI_3000_3499_Fam_households,HI_3000_3499_Non_fam_hsehlds,HI_3000_3499_Tot,HI_3500_3999_Fam_households,HI_3500_3999_Non_fam_hsehlds,HI_3500_3999_Tot,HI_4000_more_Fam_households,HI_4000_more_Non_fam_hsehlds,HI_4000_more_Tot,Part_inc_stated_Fam_household,Part_inc_std_Non_fam_hhds,Partial_income_stated_Tot,All_incomes_ns_Famly_househld,All_inc_ns_Non_famly_househld,All_incomes_not_stated_Tot,Tot_Family_households,Tot_Non_family_households,Tot_Tot
LGA26980,822,1012,1835,276,324,606,336,633,967,252,1061,1313,712,2472,3187,748,1837,2586,1920,1344,3259,2022,1513,3536,2456,1603,4059,2892,1290,4172,2122,1065,3186,2239,880,3119,4991,1588,6579,4068,286,4355,3751,428,4178,2665,113,2778,9408,566,9982,2204,357,2561,332,499,833,44225,18870,63094
LGA27070,884,705,1589,251,190,442,300,479,778,347,1009,1356,1009,2497,3508,1139,1206,2339,3496,969,4461,3077,1431,4508,3876,1559,5436,4650,1346,5991,3919,1085,5008,3927,776,4703,8962,1079,10034,6748,196,6940,5039,258,5297,3108,57,3171,5677,259,5937,2992,227,3225,776,463,1242,60186,15787,75971
LGA27170,68,134,199,35,55,88,34,141,172,65,347,410,193,862,1063,239,546,782,725,394,1119,680,532,1206,796,509,1302,963,375,1341,694,283,981,781,214,992,1808,244,2049,1226,47,1272,816,60,877,530,12,543,906,58,966,650,43,693,137,191,331,11332,5040,16372
LGA27260,792,676,1468,227,159,385,289,385,666,355,830,1186,857,1724,2581,1240,1273,2511,2811,1020,3833,3086,1441,4534,4209,1759,5965,5308,1465,6776,4704,1295,5996,4757,879,5634,11414,1482,12897,8157,297,8455,6676,368,7041,4158,162,4320,9486,546,10035,3845,373,4216,804,512,1311,73173,16643,89823
LGA27350,154,441,594,64,154,223,110,439,552,133,867,1001,302,1319,1617,241,853,1092,586,751,1340,620,961,1585,626,1408,2031,820,1423,2239,640,1443,2079,780,1386,2164,2018,3009,5031,1905,546,2445,1934,1026,2956,1541,329,1878,7369,2288,9656,890,871,1763,131,257,388,20876,19777,40646
LGA27450,362,477,838,171,172,338,152,378,530,163,732,893,555,2386,2939,638,1397,2032,2042,950,2996,2012,1216,3228,2482,1218,3695,3028,885,3917,2383,723,3103,2517,538,3053,6074,841,6910,4996,102,5097,3982,202,4185,2547,26,2573,5690,214,5910,2524,151,2675,503,429,930,42808,13033,55842
LGA27630,14,24,36,7,18,23,10,39,48,17,92,103,52,260,314,47,119,164,188,68,260,128,77,204,149,96,240,145,63,207,103,38,138,112,31,148,217,31,243,129,6,131,83,4,86,46,0,46,94,24,118,123,6,126,34,65,103,1688,1048,2740
LGA29399,0,0,0,0,0,0,3,3,4,0,4,5,0,9,9,0,4,4,7,3,9,6,5,8,11,11,17,6,14,17,3,0,5,11,6,11,10,10,19,3,0,0,3,3,4,6,3,3,11,9,14,9,5,18,0,7,7,81,80,156
LGA29499,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
LGA29799,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
